filename,caption,truncated_caption,source,source_type,disease_label,hierarchical_disease_label,skin_concept,body_location,symptoms,age,gender
pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,"Atrophy of the biceps femoris, middle, and superficial gluteal muscles, indicated by respective arrows, in the same horse as shown in the previous image.","Atrophy of the biceps femoris, middle, and superficial gluteal muscles, indicated by respective arrows, in the same horse as shown in the previous image.",pubmed_fail,knowledge,no definitive diagnosis,,atrophy,No body location information,No symptom information,No age information,No gender information
youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,"This image shows a person discussing their approach to treating skin diseases, emphasizing the importance of combining different treatments such as laser and Fraxel for optimal results with minimal downtime.","This image shows a person discussing their approach to treating skin diseases, emphasizing the importance of combining different treatments such as laser and Fraxel for optimal results with minimal downtime.",youtube,edu,no definitive diagnosis,no definitive diagnosis,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,"Right first digit, after 60 days, following 2 infiltrations, with 1 infiltration every 30 days.","Right first digit, after 60 days, following 2 infiltrations, with 1 infiltration every 30 days.",pubmed_fail,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,Front view.,Front view.,pubmed_english,knowledge,no definitive diagnosis,,No visual concepts,No body location information,No symptom information,No age information,No gender information
youtube/0JGlIffYRuM_frame_4049_0.jpg,"This image depicts the differences in appearance and growth patterns between SCCs and BCCs, with SCCs commonly appearing on lips, forearms, and dorsum of the hands, while BCCs are more commonly found on the face, scalp, and ears.","This image depicts the differences in appearance and growth patterns between SCCs and BCCs, with SCCs commonly appearing on lips, forearms, and dorsum of the hands, while BCCs are more commonly found on the face, scalp, and ears.",youtube,edu,no definitive diagnosis,no definitive diagnosis,No visual concepts,"scalp, ear, lips, hand, face",No symptom information,No age information,No gender information
youtube/TyY1qef8dIM_frame_562_0.jpg,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to a specific substance. Treatment options may include topical creams or ointments, avoiding the allergen, and taking antihistamines.","This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to a specific substance. Treatment options may include topical creams or ointments, avoiding the allergen, and taking antihistamines.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
youtube/y06F3fLlDzM_frame_2891_0_0.jpg,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and avoiding the allergen.","This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, likely caused by an allergic reaction to an irritant. Treatment options include topical creams and avoiding the allergen.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
youtube/TL_AhJVL7Xg_frame_3317_1.jpg,"This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific food or environmental allergen, and treatment options include avoiding the allergen and using over-the-counter creams to alleviate the symptoms.","This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific food or environmental allergen, and treatment options include avoiding the allergen and using over-the-counter creams to alleviate the symptoms.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",red,"nose, face",No symptom information,No age information,No gender information
youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,"This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin. The cause of this condition is an allergic reaction to a specific substance, and treatment options include avoiding the allergen and using over-the-counter creams to relieve symptoms.","This image shows a close-up view of a skin disease characterized by red, itchy patches on the skin. The cause of this condition is an allergic reaction to a specific substance, and treatment options include avoiding the allergen and using over-the-counter creams to relieve symptoms.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis","red, patch",No body location information,No symptom information,No age information,No gender information
youtube/RBEULrR75Ic_frame_51337_1.jpg,"This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific food or environmental trigger, and treatment options may include avoiding the trigger, using over-the-counter creams, or seeing a dermatologist for prescription medication.","This image shows a close-up view of a person's face with a red, itchy rash covering their cheeks and nose. The rash appears to be caused by an allergic reaction to a specific food or environmental trigger, and treatment options may include avoiding the trigger, using over-the-counter creams, or seeing a dermatologist for prescription medication.",youtube,edu,allergic contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis, allergic contact dermatitis",red,"nose, face",No symptom information,No age information,No gender information
youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"This image shows superficial skin lesions with a red, raised appearance, likely caused by an inflammatory skin disease, and can be treated with topical corticosteroids and over-the-counter creams.","This image shows superficial skin lesions with a red, raised appearance, likely caused by an inflammatory skin disease, and can be treated with topical corticosteroids and over-the-counter creams.",youtube,edu,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")","red, raised",No body location information,No symptom information,No age information,No gender information
youtube/KC3Yyxprz20_frame_10935_0_0.jpg,"This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, caused by an overactive immune response. Treatment options include topical creams and ointments, as well as immunosuppressive medications.","This image shows a close-up view of a skin disease characterized by red, inflamed patches on the skin, caused by an overactive immune response. Treatment options include topical creams and ointments, as well as immunosuppressive medications.",youtube,edu,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")","red, patch",No body location information,No symptom information,No age information,No gender information
